,"action,wealth","advice,greeting","opinion,wealth","religion,family and friends","relationships,opinion","relationships,wealth","relationships,advice","religion,conflict","family and friends,sex and party","career,advice",relationships,"emotion,adlib","existential,wealth","career,adlib","weather,conflict","relationships,emotion","greeting,conflict","weather,wealth","action,opinion","advice,sex and party","wealth,conflict","action,greeting",sex and party,"conflict,sex and party","career,wealth","existential,adlib","action,weather","opinion,weather","opinion,greeting","sex and party,family and friends","career,existential","wealth,greeting",adlib,"farewell,wealth","wealth,sex and party","weather,sex and party","greeting,sex and party","farewell,greeting",greeting,"emotion,existential","relationships,sex and party","adlib,family and friends","emotion,conflict","emotion,action",farewell,"action,sex and party","adlib,weather","emotion,family and friends","existential,sex and party",religion,"relationships,family and friends","existential,opinion","relationships,existential","action,emotion","family and friends,conflict","existential,greeting",career,"adlib,greeting","advice,family and friends","existential,religion","relationships,greeting","advice,weather","greeting,wealth",action,existential,emotion,"action,religion","religion,advice","existential,conflict","sex and party,conflict","action,existential","opinion,existential",weather,"career,greeting","greeting,family and friends","career,relationships",wealth,"relationships,adlib","opinion,advice","action,advice","advice,conflict","action,relationships","adlib,advice","conflict,family and friends","existential,family and friends","adlib,conflict","action,career","relationships,career","emotion,relationships","existential,weather","adlib,existential","emotion,advice","opinion,sex and party","religion,wealth","opinion,conflict","emotion,sex and party","existential,advice",family and friends,"emotion,religion","relationships,weather","action,conflict","career,sex and party","advice,wealth","opinion,family and friends","action,family and friends","religion,sex and party","adlib,wealth","emotion,greeting","adlib,religion","relationships,religion","opinion,religion",conflict,"wealth,family and friends",advice,"career,opinion","adlib,sex and party",opinion,"career,conflict","farewell,conflict","relationships,action","relationships,conflict","emotion,wealth","opinion,adlib","career,family and friends"
385,,,,,,,,,,,"But you-you-you, you got me open girl, why lie?",,,,,,,,,,,,"Ft: Big Sean, Cam'ron, CyHi The Prynce, Jim Jones, Musiq, Pusha T, Teyana",,,,,,,,,,In my city it's all broke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Get it? You know, when niggas is killin' niggas",,,,,,,,,,,,By rocky wrist's,,,,,,,,,,,,,,,,,,,,,"Yeah, we like blood brothers",,,,,,,,,,,,,,She said her man going away the judge gave him three,,On the front porch even if its pouring,,,You noticed I'm the kind of girl who loves her diamonds and white pearls,,,,,,,
386,,,,,,,,,,,"We ain't even tryna settle, so why try?",,,,,,,,,,,,And we a little late with the Christmas gifts,,,,,,,,,,Yeah Yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What's amazin' to me,,,,,,,,,,,,Every dollar ever tricked was never missed,,,,,,,,,,,,,,,,,,,,,Chillin' with my love,,,,,,,,,,,,,,I spit it so you could feel it,,As a kid to who I become live to get what I want,,,"The feat not divided, the love is divided",,,,,,,
387,,,,,,,,,,,The way your lips looks after you apply the gloss,,,,,,,,,,,,"The streets lit up, it feel like Christmas officially",,,,,,,,,,I’m a legend I'm irreverent I be reverend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And express myself creatively,,,,,,,,,,,,Im trifling rich i mannequin hoes to floss my shit,,,,,,,,,,,,,,,,,,,,,"Oooh, I just might share my next one with Keef",,,,,,,,,,,,,,You know what I'm saying,,The bus run twenty-fo and my stop Jackson,,,Cause that implies that we're back from somethin',,,,,,,
388,,,,,,,,,,,"My digital girl, girl, girl, girl, girl, girl",,,,,,,,,,,,"Now pour some more eggnog in you drink, mami",,,,,,,,,,Welcome to the danger zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"How 'bout this: """"Kanye West wears a dress""""?",,,,,,,,,,,,Blow money cars line the shore,,,,,,,,,,,,,,,,,,,,,"If I could, I'd give you the world",,,,,,,,,,,,,,Let em put you on peep it though,,Niggas come out like its the beach in Miami,,,"I expect that payment, nothin' less or over",,,,,,,
389,,,,,,,,,,,"(She's my digital) girl, girl, girl, girl, girl, GIRL, girl",,,,,,,,,,,,"Gave her the hot chocolate, she said â€œIt’s Dee-riciousâ€",,,,,,,,,,Maybe it's because yo boy Yeezy get ass a lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't give a fuck, no, it's not that I don't give a fuck",,,,,,,,,,,,"Flying, flying, flying overseas",,,,,,,,,,,,,,,,,,,,,I wanna turn up the sound and spread my wings because I'm riding with my (Angel),,,,,,,,,,,,,,Let em put you on peep it though,,The cops chase thiefs all through the alley and don't stop,,,I ain't even detonate the bombs in the arsenal,,,,,,,
390,,,,,,,,,,,(She's my digital girl),,,,,,,,,,,,You want the thigh high spikes with the red bottoms,,,,,,,,,,Your touch magnetizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"And it's not that I'm crazy, no, that's a lie",,,,,,,,,,,,Got friends that ask for money knowin' I'm in debt,,,,,,,,,,,,,,,,,,,,,Like the first time you heard Mary J and you were standing in line,,,,,,,,,,,,,,She said her man going away the judge gave him three,,If you can't stand up for your spot don't squat,,,"""""I'd rather argue with you than be with someone else""""",,,,,,,
391,,,,,,,,,,,My homies never see you,,,,,,,,,,,,Let's make a toast cause Christ is born,,,,,,,,,,Leaves my body glowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When I see that, uh, just a change what y'all receivin'",,,,,,,,,,,,"Clique, clique, clique clique",,,,,,,,,,,,,,,,,,,,,"Take me to New York, I'd love to see LA",,,,,,,,,,,,,,Trina: YO! I want my ass smacked,,Cuz Chicago niggas don't play them games,,,You getting blackmailed for that white girl,,,,,,,
392,,,,,,,,,,,"Yeah, girl, you so sexy though",,,,,,,,,,,,We gon’ party all night til the lights come on,,,,,,,,,,Futuristic lover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""Why he do that? Why he wear that?",,,,,,,,,,,,"Clique, clique, clique clique",,,,,,,,,,,,,,,,,,,,,"Take me to New York, I'd love to see LA",,,,,,,,,,,,,,Hit it right behind JUMP!,,Fuck around and get short for the playas ball,,,For my theme song (black),,,,,,,
393,,,,,,,,,,,As she just lay at your feet,,,,,,,,,,,,And my salmon-colored suits from the VMAs,,,,,,,,,,Different DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is that the one fighting for your soul?,,,,,,,,,,,,Young money motherfucker we the shit,,,,,,,,,,,,,,,,,,,,,"Take me to New York, I'd love to see LA",,,,,,,,,,,,,,Tell me what you wanna hear damn yes it can,,"Fiends can't help but be fiends, they come and cop for the cops",,,Enter the kingdom (black),,,,,,,
394,,,,,,,,,,,But for now I just gotta watch her practice,,,,,,,,,,,,Tell these halftime niggas break's over,,,,,,,,,,[Pre-Chorus: Katy Perry],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Who fucking with me?,,,,,,,,,,,,I ain't got time for modelin',,,,,,,,,,,,,,,,,,,,,My reign is as far as your eyes can see,,,,,,,,,,,,,,Tell me that you like it raw,,My body language saying ''fuck around and get clapped up'',,,They see a black man with a white woman,,,,,,,
395,,,,,,,,,,,Send her a picture so she see it,,,,,,,,,,,,"I'm raw, hustlas get your baking soda",,,,,,,,,,You're from a whole other world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My block behind me like I'm coming out the driveway,,,,,,,,,,,,"Bitch, no call to niggas, but we at the Ritz",,,,,,,,,,,,,,,,,,,,,My reign is as far as your eyes can see,,,,,,,,,,,,,,What have you done to me,,"Til I pull out the chopper, start blastin'",,,Middle America packed in (black),,,,,,,
396,,,,,,,,,,,"Ohh, she all on me, on me",,,,,,,,,,,,The crack head deals in my daddy,,,,,,,,,,A different dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What a feeling, ah man, they gotta be",,,,,,,,,,,,Then we'll have more time to make real figures,,,,,,,,,,,,,,,,,,,,,My reign is as far as your eyes can see,,,,,,,,,,,,,,You know what I'm saying,,"Throw it up, watch it fall and drop",,,Fuck every question you askin' (black),,,,,,,
397,,,,,,,,,,,"Ohh, I think she want me, want me",,,,,,,,,,,,And all he seem to dream about is bad ass habits,,,,,,,,,,You open my eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young player from the D that's killing everything that he see for the dough,,,,,,,,,,,,"With they chains and they cars, but they still niggas""""",,,,,,,,,,,,,,,,,,,,,My reign is as far as your eyes can see,,,,,,,,,,,,,,Eventually y'all will come around my way-ay-ay,,But it'd be wrong if I ain't say nothin',,,If I don't get ran out by Catholics (black),,,,,,,
398,,,,,,,,,,,I think she showed her homies,,,,,,,,,,,,The gun shots scream loud,,,,,,,,,,"And I’m ready to go, lead me into the light",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is that the one fighting for your soul?,,,,,,,,,,,,"It's bad enough, it's hard enough",,,,,,,,,,,,,,,,,,,,,My reign is as far as your eyes can see,,,,,,,,,,,,,,"At least 1000, at least 1000 times",,Imagine if I ain't say somethin',,,Like them black kids in Chiraq bitch,,,,,,,
399,,,,,,,,,,,Why? Cause all the homies on me,,,,,,,,,,,,Fire hydrant busted time for action,,,,,,,,,,Fill me with your poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My block behind me like I'm coming out the driveway,,,,,,,,,,,,What of the dollar you murdered for?,,,,,,,,,,,,,,,,,,,,,With the Ray Beons,,,,,,,,,,,,,,Why you fallin' on me,,Fresh out the feds in this mothafucka,,,"But I ain't finished, I'm devoted",,,,,,,
400,,,,,,,,,,,But I'mma break it down when I get back in town,,,,,,,,,,,,"Had a little beef I had to aim, it's stainless steel",,,,,,,,,,Ready for abduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm rolling with, fuck I'm saying? Girl, you know my crew name",,,,,,,,,,,,"But if you got money, fuck it, cause I want some",,,,,,,,,,,,,,,,,,,,,"(How much I feel, I live for your love)",,,,,,,,,,,,,,"And I got it, why you frontin' on me?",,"Throw it up, watch it fall and drop",,,They see a black man with a white woman at the top floor they gone come to kill King Kong,,,,,,,
401,,,,,,,,,,,The way your lips looks after you apply the gloss,,,,,,,,,,,,For every time a nigga told me stick to the beats,,,,,,,,,,"Boy, you’re an alien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What a feeling, ah man, they gotta be",,,,,,,,,,,,"Clique, clique, clique, clique, clique",,,,,,,,,,,,,,,,,,,,,(Live for your love),,,,,,,,,,,,,,I told you I don't want you all the time,,"Champions, we run the city",,,"If I don't get ran out by Catholics, here come some conservative Baptists",,,,,,,
402,,,,,,,,,,,"My digital girl, girl, girl, girl, girl, girl",,,,,,,,,,,,I could have ate at Cheesecake at least six times a week,,,,,,,,,,Your touch so foreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Young player from the D that's killing everything that he see (Ain't nobody fucking with my clique, clique, clique, clique, clique)",,,,,,,,,,,,"Clique, clique, clique, clique, clique",,,,,,,,,,,,,,,,,,,,,(Live for your love),,,,,,,,,,,,,,Put my head on your shoulder,,"Throw it up, watch it fall and drop",,,Claiming I'm overreacting like them black kids in Chiraq bitch,,,,,,,
403,,,,,,,,,,,"She's my digital girl, girl, girl, girl, girl, girl, girl",,,,,,,,,,,,"Number one, they fallin' from the top",,,,,,,,,,It’s supernatural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Translation, I'm the shit, least that what my neck say",,,,,,,,,,,,"Clique, clique, clique, clique, clique",,,,,,,,,,,,,,,,,,,,,(Live for your love),,,,,,,,,,,,,,Take you out and watch you blow come to an end,,Rather be trappin' up out of the bowl,,,But I ain't finished I'm devoted,,,,,,,
404,,,,,,,,,,,She's my digital girl,,,,,,,,,,,,"I blow the check up, detonation",,,,,,,,,,Extraterrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"He never told, who we gon' tell, we top of the totem pole",,,,,,,,,,,,"Ride in the Chevy man, candy painted, day to day",,,,,,,,,,,,,,,,,,,,,Your house got another house,,,,,,,,,,,,,,Before I catch a case I betta take my ass home,,"Til I pull out the chopper, start blastin'",,,Cause other women to fill that position is there,,,,,,,
405,,,,,,,,,,,I wanna see what's under there baby,,,,,,,,,,,,"Number one, they fallin' from the top",,,,,,,,,,You're so hypnotizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Kanye West] Timeless,,,,,,,,,,,,"Chya, hey, It's money that we talking about",,,,,,,,,,,,,,,,,,,,,Tryna turn my baby mama to my fiancée,,,,,,,,,,,,,,"You worry 'bout the wrong things, the wrong things",,"'Til I pull out the chopper, start blastin'",,,People always told me be careful of what you do,,,,,,,
406,,,,,,,,,,,But she just too far away for affection,,,,,,,,,,,,I never like how a suit fit,,,,,,,,,,Your touch magnetizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Rakim] Kanye West,,,,,,,,,,,,"How you want it? Cash, credit or the Swiss account?",,,,,,,,,,,,,,,,,,,,,Man my daughter couldn't have a better mother,,,,,,,,,,,,,,"You worry 'bout the wrong things, the wrong things",,"Throw it up, watch it fall and drop",,,Billie Jean is not my lover,,,,,,,
407,,,,,,,,,,,"Cause I remember Stacy, she prolly hate me",,,,,,,,,,,,"Just a little somethin', show you how we live",,,,,,,,,,Leaves my body glowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's what happens when you make shit that's timeless,,,,,,,,,,,,"But I'm the fucking villain, man, they kneeling when I'm walking in the building",,,,,,,,,,,,,,,,,,,,,This for the kids of the king of all kings,,,,,,,,,,,,,,"You worry 'bout the wrong things, the wrong things",,But it'd be wrong if I ain't say nothin',,,But by The Black Album I was blacking out,,,,,,,
408,,,,,,,,,,,She used to threaten she had a man to replace me,,,,,,,,,,,,"But every time I wanted, layaway or a deposit",,,,,,,,,,Futuristic lover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What do it take to be a legend like Nas is?,,,,,,,,,,,,What of the dollar you murdered for?,,,,,,,,,,,,,,,,,,,,,Love your curves and all your edges,,,,,,,,,,,,,,"You worry 'bout the wrong things, the wrong things",,Imagine if I ain't say somethin',,,"Paparazzi, I'm like a Nazi to 'em",,,,,,,
409,,,,,,,,,,,"She talk that shit, I just hit the escape key",,,,,,,,,,,,"Just a little somethin', show you how we live",,,,,,,,,,Different DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"That's so novice, I'm so polished",,,,,,,,,,,,"Or your brother's the one that you're running from, but if you got money, fuck it, cause I want some",,,,,,,,,,,,,,,,,,,,,And you give me all of you,,,,,,,,,,,,,,"You wanna kill the vibe on another night, here's another fight",,Wouldn't none these niggas say nothin',,,I'm not Bill Cosby to 'em,,,,,,,
410,,,,,,,,,,,And then she get mad and wanna go and erase me,,,,,,,,,,,,"But every time I wanted, layaway or a deposit",,,,,,,,,,You're from a whole other world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"And y'all feeling it, but I expected it",,,,,,,,,,,,"Man, they kneeling when I'm walking in the building",,,,,,,,,,,,,,,,,,,,,"You're my downfall, you're my muse",,,,,,,,,,,,,,"Oh, here we go",,Fresh out the feds in this mothafucka,,,The image and the style that you're used to doin',,,,,,,
411,,,,,,,,,,,"And I remember Amy, she used to AIM me",,,,,,,,,,,,"But every time I want it, layaway or a deposit",,,,,,,,,,A different dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm everywhere you never been, and better than I ever been",,,,,,,,,,,,"Your money too short, you can't be talking to me",,,,,,,,,,,,,,,,,,,,,"How many runners do you got on call? All day, nigga",,,,,,,,,,,,,,"(Oh, here we go)",,"Throw it up, watch it fall and drop",,,We stopped the violence in the hip-hop,,,,,,,
412,,,,,,,,,,,She stayed up late and used to blame me,,,,,,,,,,,,East side high risers,,,,,,,,,,You open my eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And no doubt the truth I?m off the meters,,,,,,,,,,,,"Me turn that 62 to 125, 125 to a 250",,,,,,,,,,,,,,,,,,,,,"How many runners do you got on call? All day, nigga",,,,,,,,,,,,,,I took his CD and asked him what he's lookin' for,,"Champions, we run the city",,,We 'bout to build like One Nation,,,,,,,
413,,,,,,,,,,,"She said I'm too wild, she wanna tame me",,,,,,,,,,,,Keep the banger tucked 'case I had to bang a fuck,,,,,,,,,,And I'm ready to go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"classic, better than I'v ever been",,,,,,,,,,,,[Produced by DJ Premier],,,,,,,,,,,,,,,,,,,,,Ain't no love in the heart of the city,,,,,,,,,,,,,,"With school boy fists, we can take this outside",,"Throw it up, watch it fall and drop",,,"Uh, that's the next president, arson",,,,,,,
414,,,,,,,,,,,I told her even Photoshop couldn't change me,,,,,,,,,,,,I lay in the drop,,,,,,,,,,Lead me into the light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,If it?s classic it?s gonna last forever than I?m everywhere you never been and better than I ever been,,,,,,,,,,,,"[Rakim Sample] I'm Rakim, the fiend of a microphone",,,,,,,,,,,,,,,,,,,,,Ain't no love in the heart of town,,,,,,,,,,,,,,"But knowing my luck, that fuck would win",,Than to get down in a hole,,,"I'm the rudest, a lot of people say that",,,,,,,
415,,,,,,,,,,,"But you-you-you, you got me open girl, why lie",,,,,,,,,,,,"Grab a drink, grab a glass",,,,,,,,,,Fill me with your poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Better than I'v ever been,,,,,,,,,,,,"You can't buy this Superfly-ness, like a shine is",,,,,,,,,,,,,,,,,,,,,Ain't no love in the heart of the city,,,,,,,,,,,,,,Who's gonna take you home,,"So if you gon' do it, do it just like this",,,"Cause they say, """"Ye, don't play that""""",,,,,,,
416,,,,,,,,,,,The way your lips looks after you apply the gloss,,,,,,,,,,,,We hit the liquor store,,,,,,,,,,Ready for abduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Kanye West:],,,,,,,,,,,,"Semesters, it took two, like Rob Base",,,,,,,,,,,,,,,,,,,,,Ain't no love in the heart of town,,,,,,,,,,,,,,Who's gonna take you home,,'Cause every summer he'd get some,,,U niggas acting like the Prince thats what Semi know/,,,,,,,
417,,,,,,,,,,,"My digital girl, girl, girl, girl, girl, girl",,,,,,,,,,,,"Girl, you know I love you",,,,,,,,,,"Boy, you're an alien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It?s performin?, look how long the line is",,,,,,,,,,,,"Talent,",,,,,,,,,,,,,,,,,,,,,Does fame in this game have to change who you are?,,,,,,,,,,,,,,Who's gonna take you home,,"So if you gon' do it, do it just like this",,,Treat everyday like it was the Sabbath/,,,,,,,
418,,,,,,,,,,,"She's my digital, girl, girl, girl, girl, girl",,,,,,,,,,,,I wanna get caught up in your love tonight,,,,,,,,,,Your touch so foreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,That?s what happens when you make shit that?s timeless,,,,,,,,,,,,"Can?t buy this, superflyness, like a shyness, your highness",,,,,,,,,,,,,,,,,,,,,Y'all remind me of us in early '92,,,,,,,,,,,,,,"With school boy fists, we can take this outside",,"So if you gon' do it, do it just like this",,,Oh my God is that a black card,,,,,,,
419,,,,,,,,,,,She's my digital girl,,,,,,,,,,,,Im tryin' get caught up in your love tonight,,,,,,,,,,It's supernatural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What do it take to be a legend like Nas is?,,,,,,,,,,,,Soakin' it all in,,,,,,,,,,,,,,,,,,,,,Like you don't care about my son's feelings?,,,,,,,,,,,,,,"But knowing my luck, that fuck would win",,'Cause every summer he'd get some,,,But I prefer the term African American Express,,,,,,,
420,,,,,,,,,,,My homies never see you,,,,,,,,,,,,"Spanish chick, JLo",,,,,,,,,,Extraterrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"That?s so novice, I?m so polished, I got a right to be a little bit snobbish",,,,,,,,,,,,Feels like we bought it all,,,,,,,,,,,,,,,,,,,,,"You heard """"Takeover"""", who running this rap shit?",,,,,,,,,,,,,,Who's gonna take you home,,"So if you gon' do it, do it just like this",,,Everybody ripping my style like the shit that hurts,,,,,,,
421,,,,,,,,,,,"Wherever you are, I could be",,,,,,,,,,,,Hit your bitch with a backstroke,,,,,,,,,,Wanna feel your power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The mistletoe's right here,,,,,,,,,,,,Come give a kiss to Santa Claus,,,,,,,,,,,,,,,,,,,,,Like you don't care about my son's feelings?,,,,,,,,,,,,,,Who's gonna take you home,,"So if you gon' do it, do it just like this",,,Y'all niggas know you can't really fuck with that,,,,,,,
422,,,,,,,,,,,I wanna see what's under there baby,,,,,,,,,,,,"Spanish bitch, JLo",,,,,,,,,,You're from a whole other world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huh, now we all livin' the good life",,,,,,,,,,,,"Ha, I swear I got the freshest wardrobe",,,,,,,,,,,,,,,,,,,,,"You heard """"Takeover"""", who running this rap shit?",,,,,,,,,,,,,,Who's gonna take you home,,'Cause every summer he'll get some,,,Fuck that and that's just common sense what the,,,,,,,
423,,,,,,,,,,,But she just too far away for affection,,,,,,,,,,,,"In the kitchen, have a bake off",,,,,,,,,,A different dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The mistletoe's right here,,,,,,,,,,,,You never see me 'cause I shop when the stores close,,,,,,,,,,,,,,,,,,,,,I don't wanna be famous,,,,,,,,,,,,,,He's gonna take what you can't take back,,"So if you gon' do it, do it just like this",,,Reaper black suit cuz my whole team's killin',,,,,,,
424,,,,,,,,,,,"Cause I remember Stacy, she prolly hate me",,,,,,,,,,,,Hit your bitch with a backstroke,,,,,,,,,,You open my eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huh, now we all livin' the good life",,,,,,,,,,,,"Ha, I got nine reindeers",,,,,,,,,,,,,,,,,,,,,"Still down with the same dogs, man, they never loved us",,,,,,,,,,,,,,Who's gonna take you home,,"Q-Tip on the beat, too",,,"This is not to get confused, this one's for you",,,,,,,
